algoritmo,tamano_matriz,hilos,iteracion,tiempo_us
mmClasicaFork,1000,7,27,172355
mmClasicaFork,1000,7,28,174090
mmClasicaFork,1000,7,29,171799
mmClasicaFork,1000,7,30,172845
mmClasicaFork,1500,1,1,4584550
mmClasicaFork,1500,1,2,4480950
mmClasicaFork,1500,1,3,4464485
mmClasicaFork,1500,1,4,4470271
mmClasicaFork,1500,1,5,4472462
mmClasicaFork,1500,1,6,4418307
mmClasicaFork,1500,1,7,4421197
mmClasicaFork,1500,1,8,4417008
mmClasicaFork,1500,1,9,4391172
mmClasicaFork,1500,1,10,4405284
mmClasicaFork,1500,1,11,4392852
mmClasicaFork,1500,1,12,4387413
mmClasicaFork,1500,1,13,4389235
mmClasicaFork,1500,1,14,4369906
mmClasicaFork,1500,1,15,4364838
mmClasicaFork,1500,1,16,4375304
mmClasicaFork,1500,1,17,4427882
mmClasicaFork,1500,1,18,4397057
mmClasicaFork,1500,1,19,4440464
mmClasicaFork,1500,1,20,4351252
mmClasicaFork,1500,1,21,4357778
mmClasicaFork,1500,1,22,4367772
mmClasicaFork,1500,1,23,4425671
mmClasicaFork,1500,1,24,4437860
mmClasicaFork,1500,1,25,4365134
mmClasicaFork,1500,1,26,4384161
mmClasicaFork,1500,1,27,4362018
mmClasicaFork,1500,1,28,4360882
mmClasicaFork,1500,1,29,4372209
mmClasicaFork,1500,1,30,4408329
mmClasicaFork,1500,2,1,2316410
mmClasicaFork,1500,2,2,2285897
mmClasicaFork,1500,2,3,2288623
mmClasicaFork,1500,2,4,2292290
mmClasicaFork,1500,2,5,2292727
mmClasicaFork,1500,2,6,2315919
mmClasicaFork,1500,2,7,2404504
mmClasicaFork,1500,2,8,2318838
mmClasicaFork,1500,2,9,2315702
mmClasicaFork,1500,2,10,2305744
mmClasicaFork,1500,2,11,2350163
mmClasicaFork,1500,2,12,2344526
mmClasicaFork,1500,2,13,2346274
mmClasicaFork,1500,2,14,2326776
mmClasicaFork,1500,2,15,2443495
mmClasicaFork,1500,2,16,2359239
mmClasicaFork,1500,2,17,2327797
mmClasicaFork,1500,2,18,2314350
mmClasicaFork,1500,2,19,2397402
mmClasicaFork,1500,2,20,2306162
mmClasicaFork,1500,2,21,2320005
mmClasicaFork,1500,2,22,2333576
mmClasicaFork,1500,2,23,2330506
mmClasicaFork,1500,2,24,2314980
mmClasicaFork,1500,2,25,2309789
mmClasicaFork,1500,2,26,2333969
mmClasicaFork,1500,2,27,2403544
mmClasicaFork,1500,2,28,2477846
mmClasicaFork,1500,2,29,2369029
mmClasicaFork,1500,2,30,2299939
mmClasicaFork,1500,3,1,1565215
mmClasicaFork,1500,3,2,1568988
mmClasicaFork,1500,3,3,1554395
mmClasicaFork,1500,3,4,1557849
