algoritmo,tamano_matriz,hilos,iteracion,tiempo_us
mmClasicaFork,1500,1,16,20597784
mmClasicaFork,1500,1,17,20972034
mmClasicaFork,1500,1,18,20749232
mmClasicaFork,1500,1,19,20816029
mmClasicaFork,1500,1,20,21815832
mmClasicaFork,1500,1,21,20809670
mmClasicaFork,1500,1,22,21513021
mmClasicaFork,1500,1,23,21024212
mmClasicaFork,1500,1,24,21318474
mmClasicaFork,1500,1,25,20390365
mmClasicaFork,1500,1,26,21093304
mmClasicaFork,1500,1,27,20127909
mmClasicaFork,1500,1,28,17124003
mmClasicaFork,1500,1,29,17347653
mmClasicaFork,1500,1,30,20598912
mmClasicaFork,1500,2,1,10990402
mmClasicaFork,1500,2,2,9035426
mmClasicaFork,1500,2,3,10435978
mmClasicaFork,1500,2,4,9878500
mmClasicaFork,1500,2,5,10374465
mmClasicaFork,1500,2,6,10585532
mmClasicaFork,1500,2,7,10382496
mmClasicaFork,1500,2,8,10488466
mmClasicaFork,1500,2,9,10611416
mmClasicaFork,1500,2,10,10434703
mmClasicaFork,1500,2,11,10126124
mmClasicaFork,1500,2,12,10230377
mmClasicaFork,1500,2,13,10326820
mmClasicaFork,1500,2,14,11064002
mmClasicaFork,1500,2,15,9803083
mmClasicaFork,1500,2,16,10627597
mmClasicaFork,1500,2,17,10429408
mmClasicaFork,1500,2,18,9939410
mmClasicaFork,1500,2,19,10428793
mmClasicaFork,1500,2,20,10323333
mmClasicaFork,1500,2,21,10615550
mmClasicaFork,1500,2,22,10278209
mmClasicaFork,1500,2,23,10582349
mmClasicaFork,1500,2,24,10571760
mmClasicaFork,1500,2,25,10627585
mmClasicaFork,1500,2,26,10578524
mmClasicaFork,1500,2,27,10602314
mmClasicaFork,1500,2,28,10519140
mmClasicaFork,1500,2,29,10445679
mmClasicaFork,1500,2,30,10295901
mmClasicaFork,1500,3,1,6462939
mmClasicaFork,1500,3,2,7067566
mmClasicaFork,1500,3,3,6709609
mmClasicaFork,1500,3,4,6677416
mmClasicaFork,1500,3,5,6591554
mmClasicaFork,1500,3,6,6464497
mmClasicaFork,1500,3,7,7251186
mmClasicaFork,1500,3,8,6364770
mmClasicaFork,1500,3,9,6374070
mmClasicaFork,1500,3,10,6191716
mmClasicaFork,1500,3,11,6274704
mmClasicaFork,1500,3,12,6180675
mmClasicaFork,1500,3,13,5900905
mmClasicaFork,1500,3,14,6385632
mmClasicaFork,1500,3,15,6212678
mmClasicaFork,1500,3,16,6396073
mmClasicaFork,1500,3,17,6980095
mmClasicaFork,1500,3,18,6260812
mmClasicaFork,1500,3,19,6437642
mmClasicaFork,1500,3,20,6341767
mmClasicaFork,1500,3,21,6741604
mmClasicaFork,1500,3,22,6507192
mmClasicaFork,1500,3,23,6698214
mmClasicaFork,1500,3,24,6356609
mmClasicaFork,1500,3,25,6261362
mmClasicaFork,1500,3,26,6665386
mmClasicaFork,1500,3,27,6395413
mmClasicaFork,1500,3,28,6236215
mmClasicaFork,1500,3,29,6357226
mmClasicaFork,1500,3,30,6301509
mmClasicaFork,1500,4,1,4972606
mmClasicaFork,1500,4,2,4722899
mmClasicaFork,1500,4,3,4776770
mmClasicaFork,1500,4,4,4528164
mmClasicaFork,1500,4,5,4762543
mmClasicaFork,1500,4,6,4544465
mmClasicaFork,1500,4,7,4566045
mmClasicaFork,1500,4,8,4670351
mmClasicaFork,1500,4,9,4969754
mmClasicaFork,1500,4,10,4653162
mmClasicaFork,1500,4,11,4431997
mmClasicaFork,1500,4,12,4744369
mmClasicaFork,1500,4,13,4722056
mmClasicaFork,1500,4,14,4578570
mmClasicaFork,1500,4,15,4697244
mmClasicaFork,1500,4,16,4567433
mmClasicaFork,1500,4,17,4608908
mmClasicaFork,1500,4,18,4111463
mmClasicaFork,1500,4,19,4661355
mmClasicaFork,1500,4,20,4704916
mmClasicaFork,1500,4,21,4613535
mmClasicaFork,1500,4,22,4930192
mmClasicaFork,1500,4,23,4597111
mmClasicaFork,1500,4,24,4639933
mmClasicaFork,1500,4,25,4618381
mmClasicaFork,1500,4,26,4504822
mmClasicaFork,1500,4,27,3890716
mmClasicaFork,1500,4,28,3948191
mmClasicaFork,1500,4,29,4084972
mmClasicaFork,1500,4,30,4930854
mmClasicaFork,1500,5,1,4499404
mmClasicaFork,1500,5,2,3285989
mmClasicaFork,1500,5,3,4215441
mmClasicaFork,1500,5,4,4424573
mmClasicaFork,1500,5,5,4788212
mmClasicaFork,1500,5,6,4681058
mmClasicaFork,1500,5,7,4542968
mmClasicaFork,1500,5,8,4253718
mmClasicaFork,1500,5,9,4773147
mmClasicaFork,1500,5,10,4291052
mmClasicaFork,1500,5,11,4663948
mmClasicaFork,1500,5,12,4543899
mmClasicaFork,1500,5,13,5081465
mmClasicaFork,1500,5,14,4716452
mmClasicaFork,1500,5,15,4554142
mmClasicaFork,1500,5,16,4378137
mmClasicaFork,1500,5,17,4986239
mmClasicaFork,1500,5,18,4528957
mmClasicaFork,1500,5,19,4433276
mmClasicaFork,1500,5,20,4285676
mmClasicaFork,1500,5,21,4397567
mmClasicaFork,1500,5,22,4662105
mmClasicaFork,1500,5,23,4713143
mmClasicaFork,1500,5,24,4933711
mmClasicaFork,1500,5,25,4588981
mmClasicaFork,1500,5,26,4944363
mmClasicaFork,1500,5,27,4490939
mmClasicaFork,1500,5,28,4484144
mmClasicaFork,1500,5,29,4707697
mmClasicaFork,1500,5,30,4802698
mmClasicaFork,1500,6,1,4948573
mmClasicaFork,1500,6,2,4711763
mmClasicaFork,1500,6,3,4682171
mmClasicaFork,1500,6,4,4852814
mmClasicaFork,1500,6,5,4935839
mmClasicaFork,1500,6,6,5141409
mmClasicaFork,1500,6,7,4541585
mmClasicaFork,1500,6,8,4887785
mmClasicaFork,1500,6,9,4559423
mmClasicaFork,1500,6,10,4587541
mmClasicaFork,1500,6,11,5153930
mmClasicaFork,1500,6,12,4619340
mmClasicaFork,1500,6,13,4526579
mmClasicaFork,1500,6,14,3583164
mmClasicaFork,1500,6,15,3884563
mmClasicaFork,1500,6,16,4201001
mmClasicaFork,1500,6,17,4453222
mmClasicaFork,1500,6,18,4780384
mmClasicaFork,1500,6,19,4012945
mmClasicaFork,1500,6,20,3941816
mmClasicaFork,1500,6,21,5065906
mmClasicaFork,1500,6,22,4548278
mmClasicaFork,1500,6,23,4665742
mmClasicaFork,1500,6,24,4978385
mmClasicaFork,1500,6,25,5093673
mmClasicaFork,1500,6,26,4199025
mmClasicaFork,1500,6,27,4087505
mmClasicaFork,1500,6,28,3976360
mmClasicaFork,1500,6,29,4258834
mmClasicaFork,1500,6,30,4583951
mmClasicaFork,1500,7,1,4564564
mmClasicaFork,1500,7,2,4442000
mmClasicaFork,1500,7,3,4789973
mmClasicaFork,1500,7,4,4350671
mmClasicaFork,1500,7,5,4391308
mmClasicaFork,1500,7,6,4271740
mmClasicaFork,1500,7,7,4273034
mmClasicaFork,1500,7,8,4782823
mmClasicaFork,1500,7,9,4413791
mmClasicaFork,1500,7,10,4097831
mmClasicaFork,1500,7,11,4470556
mmClasicaFork,1500,7,12,4810493
mmClasicaFork,1500,7,13,4414384
mmClasicaFork,1500,7,14,4781595
mmClasicaFork,1500,7,15,4884455
mmClasicaFork,1500,7,16,4691660
mmClasicaFork,1500,7,17,4447245
mmClasicaFork,1500,7,18,4319092
mmClasicaFork,1500,7,19,4318014
mmClasicaFork,1500,7,20,4997264
mmClasicaFork,1500,7,21,4634886
mmClasicaFork,1500,7,22,4462948
mmClasicaFork,1500,7,23,4300434
mmClasicaFork,1500,7,24,4942644
mmClasicaFork,1500,7,25,4343631
mmClasicaFork,1500,7,26,4270157
mmClasicaFork,1500,7,27,4654623
mmClasicaFork,1500,7,28,4377125
mmClasicaFork,1500,7,29,4792983
mmClasicaFork,1500,7,30,4318139
mmClasicaFork,2000,1,1,45655087
mmClasicaFork,2000,1,2,43979016
mmClasicaFork,2000,1,3,45752045
mmClasicaFork,2000,1,4,44754716
mmClasicaFork,2000,1,5,39872719
mmClasicaFork,2000,1,6,42452024
mmClasicaFork,2000,1,7,45636676
mmClasicaFork,2000,1,8,45184984
mmClasicaFork,2000,1,9,43237181
mmClasicaFork,2000,1,10,31263195
mmClasicaFork,2000,1,11,44459809
mmClasicaFork,2000,1,12,44773782
mmClasicaFork,2000,1,13,47106643
mmClasicaFork,2000,1,14,45079242
mmClasicaFork,2000,1,15,45155254
mmClasicaFork,2000,1,16,43528915
mmClasicaFork,2000,1,17,45691295
mmClasicaFork,2000,1,18,45121734
mmClasicaFork,2000,1,19,44503373
mmClasicaFork,2000,1,20,45285816
mmClasicaFork,2000,1,21,45107404
mmClasicaFork,2000,1,22,45139175
mmClasicaFork,2000,1,23,45759889
mmClasicaFork,2000,1,24,43550102
mmClasicaFork,2000,1,25,44699064
mmClasicaFork,2000,1,26,45440487
mmClasicaFork,2000,1,27,46292241
mmClasicaFork,2000,1,28,44235873
mmClasicaFork,2000,1,29,43335833
mmClasicaFork,2000,1,30,43847205
mmClasicaFork,2000,2,1,22573043
mmClasicaFork,2000,2,2,23117176
mmClasicaFork,2000,2,3,22768410
mmClasicaFork,2000,2,4,22751884
mmClasicaFork,2000,2,5,22506425
mmClasicaFork,2000,2,6,23348469
mmClasicaFork,2000,2,7,22770502
mmClasicaFork,2000,2,8,22549580
mmClasicaFork,2000,2,9,20246086
mmClasicaFork,2000,2,10,19697314
mmClasicaFork,2000,2,11,20466322
mmClasicaFork,2000,2,12,22192872
mmClasicaFork,2000,2,13,23154883
mmClasicaFork,2000,2,14,23417038
mmClasicaFork,2000,2,15,23156137
mmClasicaFork,2000,2,16,23525816
mmClasicaFork,2000,2,17,22474173
mmClasicaFork,2000,2,18,22835611
mmClasicaFork,2000,2,19,22992934
mmClasicaFork,2000,2,20,23233465
mmClasicaFork,2000,2,21,23198987
mmClasicaFork,2000,2,22,22566955
mmClasicaFork,2000,2,23,23473221
mmClasicaFork,2000,2,24,20755067
mmClasicaFork,2000,2,25,22747252
mmClasicaFork,2000,2,26,22726868
mmClasicaFork,2000,2,27,22959430
mmClasicaFork,2000,2,28,23694964
mmClasicaFork,2000,2,29,22298606
mmClasicaFork,2000,2,30,22417614
mmClasicaFork,2000,3,1,14580422
mmClasicaFork,2000,3,2,14740645
mmClasicaFork,2000,3,3,14314432
mmClasicaFork,2000,3,4,15385894
mmClasicaFork,2000,3,5,15243351
mmClasicaFork,2000,3,6,15976507
mmClasicaFork,2000,3,7,15818923
mmClasicaFork,2000,3,8,13624670
mmClasicaFork,2000,3,9,12930360
mmClasicaFork,2000,3,10,15065073
mmClasicaFork,2000,3,11,15461991
mmClasicaFork,2000,3,12,15825575
mmClasicaFork,2000,3,13,15655613
mmClasicaFork,2000,3,14,15511654
mmClasicaFork,2000,3,15,15199743
mmClasicaFork,2000,3,16,16016869
mmClasicaFork,2000,3,17,15619267
mmClasicaFork,2000,3,18,15450382
mmClasicaFork,2000,3,19,15281212
mmClasicaFork,2000,3,20,15669498
mmClasicaFork,2000,3,21,13596450
mmClasicaFork,2000,3,22,12726339
mmClasicaFork,2000,3,23,14220024
mmClasicaFork,2000,3,24,13380712
mmClasicaFork,2000,3,25,13737177
mmClasicaFork,2000,3,26,16227164
mmClasicaFork,2000,3,27,15584893
mmClasicaFork,2000,3,28,15510971
mmClasicaFork,2000,3,29,15875531
mmClasicaFork,2000,3,30,15656848
mmClasicaFork,2000,4,1,11556721
mmClasicaFork,2000,4,2,11701864
mmClasicaFork,2000,4,3,11669086
mmClasicaFork,2000,4,4,11282337
mmClasicaFork,2000,4,5,11725983
mmClasicaFork,2000,4,6,11258592
mmClasicaFork,2000,4,7,11486687
mmClasicaFork,2000,4,8,11639234
mmClasicaFork,2000,4,9,11319679
mmClasicaFork,2000,4,10,11462977
mmClasicaFork,2000,4,11,11250723
mmClasicaFork,2000,4,12,11605963
mmClasicaFork,2000,4,13,11178141
mmClasicaFork,2000,4,14,11336451
mmClasicaFork,2000,4,15,11427692
mmClasicaFork,2000,4,16,11365637
mmClasicaFork,2000,4,17,11860983
mmClasicaFork,2000,4,18,12510399
mmClasicaFork,2000,4,19,11588870
mmClasicaFork,2000,4,20,11641312
mmClasicaFork,2000,4,21,11336118
mmClasicaFork,2000,4,22,11676734
mmClasicaFork,2000,4,23,10459379
mmClasicaFork,2000,4,24,11487071
mmClasicaFork,2000,4,25,13119010
mmClasicaFork,2000,4,26,11250901
mmClasicaFork,2000,4,27,11637686
mmClasicaFork,2000,4,28,11368014
mmClasicaFork,2000,4,29,11689025
mmClasicaFork,2000,4,30,11548262
mmClasicaFork,2000,5,1,10947143
mmClasicaFork,2000,5,2,11067976
mmClasicaFork,2000,5,3,10743167
mmClasicaFork,2000,5,4,11087076
mmClasicaFork,2000,5,5,10978895
mmClasicaFork,2000,5,6,11049922
mmClasicaFork,2000,5,7,10973542
mmClasicaFork,2000,5,8,10858036
mmClasicaFork,2000,5,9,11302684
mmClasicaFork,2000,5,10,10833150
mmClasicaFork,2000,5,11,10677085
mmClasicaFork,2000,5,12,10173192
mmClasicaFork,2000,5,13,11481245
mmClasicaFork,2000,5,14,10947744
mmClasicaFork,2000,5,15,11308381
mmClasicaFork,2000,5,16,11281061
mmClasicaFork,2000,5,17,10968675
mmClasicaFork,2000,5,18,11392188
mmClasicaFork,2000,5,19,10689254
mmClasicaFork,2000,5,20,11222558
mmClasicaFork,2000,5,21,11108369
mmClasicaFork,2000,5,22,10885430
mmClasicaFork,2000,5,23,11024593
mmClasicaFork,2000,5,24,11455312
mmClasicaFork,2000,5,25,11701430
mmClasicaFork,2000,5,26,10816583
mmClasicaFork,2000,5,27,11091228
mmClasicaFork,2000,5,28,10878902
mmClasicaFork,2000,5,29,11019840
mmClasicaFork,2000,5,30,11034270
mmClasicaFork,2000,6,1,12152990
mmClasicaFork,2000,6,2,12215506
mmClasicaFork,2000,6,3,12013399
mmClasicaFork,2000,6,4,11926004
mmClasicaFork,2000,6,5,12335328
mmClasicaFork,2000,6,6,12354500
mmClasicaFork,2000,6,7,12169828
mmClasicaFork,2000,6,8,11846534
mmClasicaFork,2000,6,9,12031095
mmClasicaFork,2000,6,10,11724209
mmClasicaFork,2000,6,11,11684302
mmClasicaFork,2000,6,12,12277903
mmClasicaFork,2000,6,13,12249740
mmClasicaFork,2000,6,14,11922364
mmClasicaFork,2000,6,15,12169706
mmClasicaFork,2000,6,16,11389489
mmClasicaFork,2000,6,17,10866598
mmClasicaFork,2000,6,18,11877370
mmClasicaFork,2000,6,19,12019553
mmClasicaFork,2000,6,20,12014604
mmClasicaFork,2000,6,21,11910109
mmClasicaFork,2000,6,22,10777465
mmClasicaFork,2000,6,23,11529925
mmClasicaFork,2000,6,24,11246522
mmClasicaFork,2000,6,25,12229777
mmClasicaFork,2000,6,26,11946392
mmClasicaFork,2000,6,27,11838111
mmClasicaFork,2000,6,28,11646529
mmClasicaFork,2000,6,29,12110145
mmClasicaFork,2000,6,30,10552360
mmClasicaFork,2000,7,1,9344294
mmClasicaFork,2000,7,2,9358866
mmClasicaFork,2000,7,3,9636222
mmClasicaFork,2000,7,4,10004478
mmClasicaFork,2000,7,5,9464544
mmClasicaFork,2000,7,6,10864554
mmClasicaFork,2000,7,7,11295990
mmClasicaFork,2000,7,8,10888176
mmClasicaFork,2000,7,9,11051708
mmClasicaFork,2000,7,10,11480651
mmClasicaFork,2000,7,11,11121291
mmClasicaFork,2000,7,12,12382351
mmClasicaFork,2000,7,13,10835882
mmClasicaFork,2000,7,14,10810290
mmClasicaFork,2000,7,15,11150128
mmClasicaFork,2000,7,16,10663353
mmClasicaFork,2000,7,17,10231164
mmClasicaFork,2000,7,18,10979721
mmClasicaFork,2000,7,19,10608722
mmClasicaFork,2000,7,20,10943400
mmClasicaFork,2000,7,21,10931520
mmClasicaFork,2000,7,22,11154625
mmClasicaFork,2000,7,23,10889348
mmClasicaFork,2000,7,24,10756266
mmClasicaFork,2000,7,25,10128306
mmClasicaFork,2000,7,26,10700657
mmClasicaFork,2000,7,27,10922227
mmClasicaFork,2000,7,28,11168152
mmClasicaFork,2000,7,29,10763941
mmClasicaFork,2000,7,30,10604287
mmClasicaFork,500,1,1,622152
mmClasicaFork,500,1,2,629258
mmClasicaFork,500,1,3,699976
mmClasicaFork,500,1,4,598609
mmClasicaFork,500,1,5,602202
mmClasicaFork,500,1,6,623988
mmClasicaFork,500,1,7,575329
mmClasicaFork,500,1,8,601181
mmClasicaFork,500,1,9,662250
mmClasicaFork,500,1,10,624383
mmClasicaFork,500,1,11,564843
mmClasicaFork,500,1,12,749493
mmClasicaFork,500,1,13,601981
mmClasicaFork,500,1,14,705224
mmClasicaFork,500,1,15,686383
mmClasicaFork,500,1,16,593175
mmClasicaFork,500,1,17,788740
mmClasicaFork,500,1,18,639072
mmClasicaFork,500,1,19,579005
mmClasicaFork,500,1,20,587421
mmClasicaFork,500,1,21,584340
mmClasicaFork,500,1,22,651314
mmClasicaFork,500,1,23,635453
mmClasicaFork,500,1,24,570538
mmClasicaFork,500,1,25,584020
mmClasicaFork,500,1,26,576710
mmClasicaFork,500,1,27,658251
mmClasicaFork,500,1,28,600601
mmClasicaFork,500,1,29,577649
mmClasicaFork,500,1,30,652891
mmClasicaFork,500,2,1,391548
mmClasicaFork,500,2,2,327015
mmClasicaFork,500,2,3,419931
mmClasicaFork,500,2,4,341574
mmClasicaFork,500,2,5,322736
mmClasicaFork,500,2,6,359068
mmClasicaFork,500,2,7,377161
mmClasicaFork,500,2,8,367989
mmClasicaFork,500,2,9,326028
mmClasicaFork,500,2,10,361062
mmClasicaFork,500,2,11,392535
mmClasicaFork,500,2,12,334964
mmClasicaFork,500,2,13,386808
mmClasicaFork,500,2,14,328766
mmClasicaFork,500,2,15,338637
mmClasicaFork,500,2,16,368913
mmClasicaFork,500,2,17,329816
mmClasicaFork,500,2,18,443311
mmClasicaFork,500,2,19,318796
mmClasicaFork,500,2,20,406534
mmClasicaFork,500,2,21,353328
mmClasicaFork,500,2,22,337624
mmClasicaFork,500,2,23,342135
mmClasicaFork,500,2,24,363125
mmClasicaFork,500,2,25,349698
mmClasicaFork,500,2,26,379951
mmClasicaFork,500,2,27,327124
mmClasicaFork,500,2,28,418348
mmClasicaFork,500,2,29,351465
mmClasicaFork,500,2,30,323174
mmClasicaFork,500,3,1,326798
mmClasicaFork,500,3,2,239485
mmClasicaFork,500,3,3,234141
mmClasicaFork,500,3,4,283793
mmClasicaFork,500,3,5,272631
mmClasicaFork,500,3,6,258847
mmClasicaFork,500,3,7,236983
mmClasicaFork,500,3,8,280176
mmClasicaFork,500,3,9,250933
mmClasicaFork,500,3,10,281138
mmClasicaFork,500,3,11,228997
mmClasicaFork,500,3,12,287967
